Pattern_ID,Start_Time,End_Time,Cup_Depth,Cup_Duration_Candles,Handle_Depth,Handle_Duration_Candles,R_Squared,Breakout_Timestamp,Breakout_Strength_Pct,Valid_Flag,Invalid_Reason,Total_Duration_Candles,Cup_Handle_Ratio
1,2025-05-01 22:19:00,2025-05-02 00:21:00,401.4079,117,75.6801,6,0.8515,2025-05-02 00:32:00,0.08,Valid,N/A,123,19.5
2,2025-05-03 18:22:00,2025-05-03 19:20:00,108.4886,52,28.8257,7,0.943,2025-05-03 19:38:00,0.02,Valid,N/A,59,7.43
3,2025-05-05 15:31:00,2025-05-05 16:09:00,177.8424,33,55.6837,6,0.8574,2025-05-05 16:24:00,0.1,Valid,N/A,39,5.5
4,2025-05-06 16:40:00,2025-05-06 17:25:00,345.2377,39,20.8566,7,0.9645,2025-05-06 17:40:00,0.1,Valid,N/A,46,5.57
5,2025-05-08 04:26:00,2025-05-08 08:01:00,555.5443,180,71.8805,36,0.9554,2025-05-08 08:12:00,0.06,Valid,N/A,216,5.0
6,2025-05-10 11:22:00,2025-05-10 12:19:00,170.466,49,14.4014,9,0.8947,2025-05-10 12:31:00,0.05,Valid,N/A,58,5.44
7,2025-05-15 20:50:00,2025-05-15 22:10:00,580.5638,74,159.4809,7,0.8643,2025-05-15 22:25:00,0.11,Valid,N/A,81,10.57
8,2025-05-16 04:31:00,2025-05-16 05:07:00,99.0829,31,23.6478,6,0.8558,2025-05-16 05:26:00,0.05,Valid,N/A,37,5.17
9,2025-05-17 13:28:00,2025-05-17 14:24:00,235.4446,48,43.6772,9,0.854,2025-05-17 14:42:00,0.05,Valid,N/A,57,5.33
10,2025-05-18 06:15:00,2025-05-18 07:34:00,205.9967,67,25.2142,13,0.909,2025-05-18 07:54:00,0.02,Valid,N/A,80,5.15
11,2025-05-19 11:45:00,2025-05-19 13:52:00,786.5999,117,226.0745,11,0.8897,2025-05-19 14:12:00,0.17,Valid,N/A,128,10.64
12,2025-05-19 18:43:00,2025-05-19 19:21:00,229.2733,33,43.0894,6,0.9442,2025-05-19 19:41:00,0.1,Valid,N/A,39,5.5
13,2025-05-20 18:42:00,2025-05-20 19:17:00,505.5114,30,170.3216,6,0.9105,2025-05-20 19:30:00,0.14,Valid,N/A,36,5.0
14,2025-05-20 21:58:00,2025-05-20 23:00:00,686.948,55,76.9322,8,0.8908,2025-05-20 23:20:00,0.11,Valid,N/A,63,6.88
15,2025-05-21 13:01:00,2025-05-21 13:37:00,180.7638,31,114.009,6,0.9874,2025-05-21 13:48:00,0.12,Valid,N/A,37,5.17
16,2025-05-23 12:48:00,2025-05-23 13:24:00,430.5869,31,112.7194,6,0.8574,2025-05-23 13:39:00,0.22,Valid,N/A,37,5.17
17,2025-05-25 03:55:00,2025-05-25 04:48:00,213.7958,45,24.1608,9,0.8503,2025-05-25 05:07:00,0.04,Valid,N/A,54,5.0
18,2025-05-26 19:29:00,2025-05-26 20:04:00,181.3268,30,55.29,6,0.8522,2025-05-26 20:20:00,0.08,Valid,N/A,36,5.0
19,2025-05-27 05:05:00,2025-05-27 05:58:00,237.2586,46,36.9022,8,0.9132,2025-05-27 06:15:00,0.07,Valid,N/A,54,5.75
20,2025-05-28 21:49:00,2025-05-28 23:07:00,299.5146,74,113.7089,5,0.957,2025-05-28 23:20:00,0.08,Valid,N/A,79,14.8
21,2025-06-01 02:58:00,2025-06-01 03:40:00,163.9734,36,50.9488,7,0.8527,2025-06-01 03:51:00,0.04,Valid,N/A,43,5.14
22,2025-06-02 21:11:00,2025-06-02 22:05:00,316.9745,49,115.7469,6,0.9647,2025-06-02 22:24:00,0.1,Valid,N/A,55,8.17
23,2025-06-03 11:16:00,2025-06-03 12:07:00,98.7595,44,43.517,8,0.8833,2025-06-03 12:27:00,0.04,Valid,N/A,52,5.5
24,2025-06-06 02:08:00,2025-06-06 02:45:00,237.3415,32,83.6504,6,0.9609,2025-06-06 03:00:00,0.07,Valid,N/A,38,5.33
25,2025-06-07 01:56:00,2025-06-07 02:45:00,117.5397,42,19.1708,8,0.9103,2025-06-07 03:04:00,0.04,Valid,N/A,50,5.25
26,2025-06-08 09:56:00,2025-06-08 10:40:00,152.1152,39,108.7168,6,0.8967,2025-06-08 10:57:00,0.05,Valid,N/A,45,6.5
27,2025-06-10 17:21:00,2025-06-10 18:45:00,296.1443,78,118.3471,7,0.8503,2025-06-10 18:57:00,0.07,Valid,N/A,85,11.14
28,2025-06-13 13:56:00,2025-06-13 15:07:00,549.6061,60,222.6401,12,0.8563,2025-06-13 15:20:00,0.16,Valid,N/A,72,5.0
29,2025-06-15 19:38:00,2025-06-15 23:25:00,839.0317,190,117.2819,38,0.8546,2025-06-15 23:43:00,0.09,Valid,N/A,228,5.0
30,2025-06-16 17:36:00,2025-06-16 18:20:00,239.3576,38,34.3418,7,0.8694,2025-06-16 18:39:00,0.09,Valid,N/A,45,5.43
